10.595744848251343	BC
11.800857543945312	BC
337.56925320625305	GAIL
459.6422231197357	GAIL
196.92698287963867	GAIL
616.2125272750854	GAIL
753.8355252742767	GAIL
513.4084045886993	GAIL
595.4947407245636	GAIL
399.30849051475525	GAIL
432.08405923843384	GAIL
461.32706570625305	GAIL
799.911693572998	GAIL
1122.7750594615936	GAIL
518.4799647331238	GAIL
529.9821701049805	GAIL
9.554436206817627	BC
1286.9679646492004	GAIL
635.8686079978943	GAIL
565.1665434837341	GAIL
631.7102711200714	GAIL
4542.713319540024	GAIL
11.647953033447266	BC
11.693612098693848	BC
11.625836372375488	BC
11.327316522598267	BC
12.46382451057434	BC
11.822468996047974	BC
11.792903900146484	BC
